Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
0.005994319915771484,5.652,0.93,93.0,520.0
0.008992433547973633,5.652,0.9,93.0,520.0
1.6251308917999268,5.652,0.9,91.0,520.0
2.6313865184783936,5.644,1.05,107.0,580.0
3.635873317718506,5.648,0.94,92.0,520.0
4.6432836055755615,5.644,1.07,102.0,580.0
5.650357723236084,5.648,1.04,105.0,580.0
6.654428958892822,5.648,0.95,95.0,520.0
7.661293029785156,5.644,1.02,102.0,580.0
8.666029453277588,5.648,1.04,93.0,520.0
9.672526359558105,5.648,0.94,94.0,520.0
10.677320957183838,5.644,1.06,107.0,580.0
11.683640241622925,5.644,1.05,100.0,560.0
12.690295696258545,5.652,0.98,94.0,520.0
13.695453405380249,5.644,1.04,106.0,580.0
14.701761245727539,5.648,0.95,94.0,520.0
15.706477165222168,5.648,0.95,93.0,520.0
16.713366508483887,5.644,1.06,106.0,580.0
17.72036361694336,5.648,0.93,98.0,560.0
18.72459864616394,5.648,0.94,93.0,520.0
19.73122262954712,5.644,1.05,105.0,580.0
20.736388206481934,5.644,0.9,93.0,520.0
21.74290895462036,5.644,0.94,92.0,520.0
22.747493028640747,5.636,1.08,105.0,580.0
23.753637075424194,5.644,1.05,105.0,580.0
24.761541604995728,5.644,0.93,96.0,560.0
25.765450477600098,5.64,1.02,108.0,620.0
26.77222514152527,5.644,0.93,96.0,560.0
27.776812076568604,5.644,0.93,94.0,520.0
28.783274173736572,5.644,1.08,108.0,620.0
29.791067600250244,5.64,1.06,104.0,580.0
30.794484853744507,5.644,0.97,108.0,620.0
31.801929235458374,5.64,1.06,105.0,580.0
32.807313442230225,5.644,0.95,94.0,520.0
33.81324553489685,5.64,1.03,103.0,580.0
34.81976675987244,5.64,1.08,104.0,580.0
35.82430124282837,5.644,0.94,92.0,520.0
36.83124303817749,5.64,1.09,106.0,580.0
37.8355016708374,5.64,1.01,104.0,580.0
38.84291744232178,5.64,1.02,101.0,560.0
39.84759259223938,5.64,0.95,93.0,520.0
40.853675842285156,5.64,1.07,104.0,580.0
41.861043214797974,5.64,0.94,96.0,560.0
42.86497712135315,5.64,0.91,92.0,520.0
43.872575759887695,5.636,1.08,107.0,580.0
44.87648057937622,5.64,0.96,93.0,520.0
45.88402271270752,5.64,0.92,90.0,500.0
46.89022636413574,5.636,1.01,106.0,580.0
47.89445996284485,5.644,0.94,94.0,520.0
48.90188121795654,5.64,0.9,92.0,520.0
49.90628743171692,5.632,1.03,105.0,580.0
50.913676023483276,5.64,0.94,93.0,520.0
51.91735553741455,5.64,0.94,94.0,520.0
52.92395615577698,5.636,1.03,103.0,580.0
53.931241035461426,5.64,0.94,93.0,520.0
54.935298681259155,5.636,0.93,111.0,620.0
55.94256925582886,5.628,1.04,103.0,580.0
56.94695281982422,5.64,0.94,92.0,520.0
57.95341730117798,5.636,0.89,104.0,580.0
58.960654973983765,5.636,1.06,103.0,580.0
59.96501922607422,5.636,0.93,93.0,520.0
60.97186231613159,5.632,1.07,105.0,580.0
61.97690510749817,5.632,1.1,109.0,620.0
62.983490228652954,5.636,0.93,100.0,560.0
63.99084258079529,5.632,1.08,105.0,580.0
64.99468326568604,5.632,1.05,107.0,580.0
66.00200986862183,5.636,0.93,93.0,520.0
67.0064959526062,5.632,1.05,105.0,580.0
68.0133011341095,5.636,1.06,93.0,520.0
69.01720714569092,5.632,0.94,94.0,520.0
70.02467131614685,5.628,1.04,102.0,580.0
71.03170490264893,5.636,0.92,94.0,520.0
72.03580379486084,5.636,0.97,92.0,520.0
73.04228162765503,5.632,1.03,104.0,580.0
74.04729127883911,5.632,0.95,94.0,520.0
75.05347084999084,5.632,0.92,93.0,520.0
76.06038618087769,5.632,1.05,106.0,580.0
77.0653817653656,5.636,0.93,93.0,520.0
78.07203412055969,5.632,0.93,93.0,520.0
79.07627940177917,5.628,1.04,105.0,580.0
80.08340811729431,5.632,0.9,94.0,520.0
81.08738255500793,5.628,0.94,91.0,520.0
82.09437036514282,5.628,1.06,105.0,580.0
83.1014416217804,5.632,0.91,92.0,520.0
84.10540890693665,5.632,0.91,95.0,520.0
85.11268043518066,5.628,1.06,105.0,580.0
86.11686539649963,5.628,1.04,107.0,580.0
87.12371897697449,5.632,0.95,100.0,560.0
88.13151931762695,5.624,1.05,105.0,580.0
89.1350200176239,5.628,0.94,95.0,520.0
