Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
0,5.588,1.07,103.0,580.0
1,5.592,1.06,106.0,580.0
2,5.592,1.04,102.0,560.0
3,5.588,1.03,102.0,560.0
4,5.592,1.03,103.0,580.0
5,5.588,1.03,102.0,560.0
6,5.588,1.0,105.0,580.0
7,5.588,1.02,106.0,580.0
8,5.588,1.06,106.0,580.0
9,5.588,1.04,105.0,580.0
10,5.588,1.04,102.0,560.0
11,5.588,1.05,105.0,580.0
12,5.588,1.03,102.0,560.0
13,5.584,1.07,102.0,560.0
14,5.588,1.01,104.0,580.0
15,5.588,1.02,104.0,580.0
16,5.588,1.05,103.0,580.0
17,5.584,1.03,106.0,580.0
18,5.584,1.03,105.0,580.0
19,5.588,1.05,108.0,580.0
20,5.584,1.04,105.0,580.0
21,5.588,1.05,106.0,580.0
22,5.588,1.06,101.0,560.0
23,5.588,1.05,102.0,560.0
24,5.588,1.07,105.0,580.0
25,5.588,1.05,103.0,580.0
26,5.584,1.07,107.0,580.0
27,5.588,1.03,103.0,580.0
28,5.584,1.07,103.0,580.0
29,5.584,1.05,107.0,580.0
30,5.584,1.04,104.0,580.0
31,5.584,1.04,105.0,580.0
32,5.584,1.05,105.0,580.0
33,5.584,1.04,102.0,560.0
34,5.58,1.07,103.0,580.0
35,5.584,1.04,109.0,620.0
36,5.584,1.05,104.0,580.0
37,5.584,1.05,103.0,580.0
38,5.584,1.05,105.0,580.0
39,5.584,1.02,100.0,560.0
40,5.58,1.12,104.0,580.0
41,5.584,1.05,103.0,580.0
42,5.588,1.04,103.0,580.0
43,5.584,1.03,104.0,580.0
44,5.584,1.02,103.0,580.0
45,5.584,1.05,103.0,580.0
46,5.584,1.04,109.0,620.0
47,5.58,1.05,103.0,580.0
48,5.584,1.07,107.0,580.0
49,5.584,1.02,107.0,580.0
50,5.584,1.03,105.0,580.0
51,5.58,1.04,106.0,580.0
52,5.58,1.06,104.0,580.0
53,5.576,1.05,102.0,560.0
54,5.58,1.03,102.0,560.0
55,5.58,1.03,103.0,580.0
56,5.58,1.04,106.0,580.0
57,5.58,1.08,106.0,580.0
58,5.576,1.06,102.0,560.0
59,5.576,1.04,105.0,580.0
60,5.58,1.03,105.0,580.0
61,5.576,1.09,106.0,580.0
62,5.58,1.04,104.0,580.0
63,5.576,1.09,109.0,620.0
64,5.58,1.03,106.0,580.0
66,5.58,1.04,105.0,580.0
67,5.58,1.06,107.0,580.0
68,5.58,1.06,104.0,580.0
69,5.58,1.03,105.0,580.0
70,5.576,1.05,105.0,580.0
71,5.58,1.04,103.0,580.0
72,5.58,1.08,105.0,580.0
73,5.576,1.04,106.0,580.0
74,5.576,1.03,104.0,580.0
75,5.58,1.05,104.0,580.0
76,5.576,1.03,106.0,580.0
77,5.576,1.06,102.0,560.0
78,5.576,1.06,103.0,580.0
79,5.576,1.07,104.0,580.0
80,5.576,1.04,108.0,580.0
81,5.576,1.02,104.0,580.0
82,5.576,1.04,106.0,580.0
83,5.576,1.05,104.0,580.0
84,5.58,1.02,105.0,580.0
85,5.572,1.04,102.0,560.0
86,5.576,1.08,105.0,580.0
87,5.576,1.01,105.0,580.0
88,5.572,1.04,106.0,580.0
89,5.576,1.04,104.0,580.0
90,5.572,1.02,102.0,560.0
91,5.576,1.09,105.0,580.0
92,5.572,1.06,109.0,620.0
93,5.572,1.03,105.0,580.0
94,5.572,1.06,106.0,580.0
95,5.576,1.01,101.0,560.0
96,5.572,1.05,103.0,580.0
97,5.572,1.05,103.0,580.0
98,5.572,1.07,107.0,580.0
99,5.576,1.06,101.0,560.0
100,5.576,1.01,104.0,580.0
101,5.572,1.09,106.0,580.0
102,5.572,1.04,107.0,580.0
103,5.572,1.03,103.0,580.0
104,5.572,1.04,106.0,580.0
105,5.572,1.05,104.0,580.0
106,5.572,1.06,104.0,580.0
107,5.572,1.05,105.0,580.0
108,5.572,1.02,104.0,580.0
109,5.572,1.04,103.0,580.0
110,5.572,1.01,104.0,580.0
111,5.572,1.03,103.0,580.0
112,5.572,1.04,104.0,580.0
113,5.576,1.02,106.0,580.0
114,5.572,1.01,104.0,580.0
115,5.568,1.06,106.0,580.0
116,5.572,1.01,105.0,580.0
117,5.572,1.04,104.0,580.0
118,5.568,1.04,108.0,580.0
119,5.572,1.05,105.0,580.0
120,5.572,1.05,103.0,580.0
121,5.568,1.03,102.0,560.0
122,5.568,1.04,105.0,580.0
123,5.568,1.07,107.0,580.0
124,5.568,1.02,108.0,580.0
125,5.568,1.05,105.0,580.0
126,5.568,1.02,101.0,560.0
127,5.568,1.03,103.0,580.0
128,5.568,1.04,104.0,580.0
129,5.568,1.06,104.0,580.0
130,5.568,1.08,102.0,560.0
131,5.568,1.05,106.0,580.0
132,5.568,1.03,104.0,580.0
133,5.568,1.06,106.0,580.0
134,5.568,1.04,102.0,560.0
135,5.568,1.06,104.0,580.0
136,5.564,1.09,101.0,560.0
137,5.568,1.04,105.0,580.0
138,5.568,1.04,104.0,580.0
139,5.568,1.06,104.0,580.0
140,5.568,1.01,103.0,580.0
141,5.568,1.07,106.0,580.0
142,5.568,1.03,104.0,580.0
143,5.568,0.99,103.0,580.0
144,5.564,1.07,104.0,580.0
145,5.564,1.03,105.0,580.0
146,5.564,1.03,104.0,580.0
147,5.568,1.02,104.0,580.0
148,5.564,1.04,102.0,560.0
149,5.568,1.04,103.0,560.0
150,5.564,1.04,101.0,560.0
151,5.564,1.02,102.0,560.0
152,5.564,1.06,104.0,580.0
153,5.568,1.02,101.0,560.0
154,5.568,1.04,104.0,580.0
155,5.568,1.02,103.0,560.0
156,5.568,1.06,104.0,580.0
157,5.564,1.02,101.0,560.0
158,5.564,1.04,107.0,580.0
159,5.56,1.04,104.0,580.0
160,5.564,1.08,107.0,580.0
161,5.564,1.03,103.0,560.0
162,5.564,1.05,108.0,580.0
163,5.564,1.05,104.0,580.0
164,5.564,1.06,105.0,580.0
165,5.564,1.03,105.0,580.0
166,5.564,1.04,103.0,560.0
167,5.564,1.04,102.0,560.0
168,5.56,1.07,106.0,580.0
169,5.564,1.03,107.0,580.0
170,5.56,1.06,103.0,560.0
171,5.56,1.05,106.0,580.0
172,5.564,1.05,104.0,580.0
173,5.564,1.02,101.0,560.0
174,5.564,1.06,106.0,580.0
175,5.56,1.06,104.0,580.0
176,5.564,1.06,102.0,560.0
177,5.564,1.04,101.0,560.0
178,5.564,1.07,101.0,560.0
179,5.564,1.0,104.0,580.0
180,5.56,1.02,106.0,580.0
181,5.56,1.04,104.0,580.0
182,5.56,1.04,102.0,560.0
183,5.564,0.99,103.0,560.0
184,5.56,1.03,108.0,580.0
185,5.56,1.03,101.0,560.0
186,5.56,1.04,106.0,580.0
187,5.56,1.04,103.0,560.0
188,5.56,1.02,104.0,580.0
189,5.56,1.02,104.0,580.0
190,5.56,1.03,103.0,560.0
191,5.56,1.05,106.0,580.0
192,5.556,1.08,109.0,580.0
193,5.564,1.03,102.0,560.0
194,5.56,1.05,102.0,560.0
195,5.56,1.02,107.0,580.0
196,5.56,1.02,104.0,580.0
197,5.56,1.06,105.0,580.0
198,5.556,1.03,105.0,580.0
199,5.556,1.06,102.0,560.0
200,5.56,1.05,106.0,580.0
201,5.556,1.06,105.0,580.0
202,5.56,1.05,102.0,560.0
203,5.556,1.04,106.0,580.0
204,5.56,1.03,103.0,560.0
205,5.556,1.07,106.0,580.0
206,5.556,1.02,103.0,560.0
207,5.556,1.03,102.0,560.0
208,5.556,1.07,107.0,580.0
209,5.556,1.05,104.0,580.0
210,5.556,1.02,102.0,560.0
211,5.56,1.04,109.0,580.0
212,5.56,1.03,103.0,560.0
213,5.56,1.07,106.0,580.0
214,5.556,1.05,101.0,560.0
215,5.556,1.04,105.0,580.0
216,5.556,1.06,102.0,560.0
217,5.556,1.02,105.0,580.0
218,5.552,1.02,105.0,580.0
219,5.556,1.05,105.0,580.0
220,5.56,1.05,104.0,580.0
221,5.552,1.03,104.0,580.0
222,5.556,1.01,101.0,560.0
223,5.556,1.05,106.0,580.0
224,5.552,1.02,104.0,580.0
225,5.556,1.07,100.0,560.0
226,5.556,1.04,105.0,580.0
227,5.556,1.03,103.0,560.0
228,5.552,1.03,105.0,580.0
229,5.556,1.05,102.0,560.0
230,5.556,1.06,105.0,580.0
231,5.552,1.07,103.0,560.0
232,5.552,1.03,106.0,580.0
233,5.556,1.03,106.0,580.0
234,5.552,1.02,106.0,580.0
235,5.556,1.04,102.0,560.0
237,5.552,1.03,105.0,580.0
238,5.556,1.04,103.0,560.0
239,5.552,1.03,104.0,580.0
240,5.552,1.02,102.0,560.0
241,5.552,1.06,106.0,580.0
242,5.552,1.05,104.0,580.0
243,5.552,1.03,106.0,580.0
244,5.552,1.05,102.0,560.0
245,5.552,1.04,103.0,560.0
246,5.556,1.06,103.0,560.0
247,5.552,1.08,102.0,560.0
248,5.556,1.05,105.0,580.0
249,5.552,1.02,105.0,580.0
250,5.556,1.06,103.0,560.0
251,5.552,1.06,105.0,580.0
252,5.552,1.03,105.0,580.0
253,5.552,1.01,106.0,580.0
254,5.552,1.06,103.0,560.0
255,5.552,1.02,105.0,580.0
256,5.552,1.03,102.0,560.0
257,5.548,1.04,102.0,560.0
258,5.548,1.07,104.0,580.0
259,5.548,1.04,107.0,580.0
260,5.552,1.06,106.0,580.0
