Time,Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
1.6282439231872559,5.796,1.1,109.0,620.0
2.632962226867676,5.796,1.05,110.0,620.0
3.639655113220215,5.8,0.95,97.0,560.0
4.644812345504761,5.796,1.1,110.0,620.0
5.651361703872681,5.796,0.97,96.0,560.0
6.657700777053833,5.796,0.99,98.0,560.0
7.662371397018433,5.788,1.11,114.0,660.0
8.668956518173218,5.796,0.97,97.0,560.0
9.67438268661499,5.796,0.97,98.0,560.0
10.680415391921997,5.792,1.08,110.0,620.0
11.685494422912598,5.796,0.97,99.0,580.0
12.691985368728638,5.796,1.04,99.0,580.0
13.698500156402588,5.792,1.09,110.0,620.0
14.703913927078247,5.796,0.97,98.0,560.0
15.71020770072937,5.788,1.03,108.0,620.0
16.715631246566772,5.788,1.11,112.0,660.0
17.722289562225342,5.792,1.01,99.0,560.0
18.728320598602295,5.792,0.98,97.0,560.0
19.73329210281372,5.784,1.09,110.0,620.0
20.74012851715088,5.788,1.01,98.0,560.0
21.745550870895386,5.788,1.0,115.0,660.0
22.75129199028015,5.788,1.09,108.0,620.0
23.75774073600769,5.792,0.99,106.0,620.0
24.763429164886475,5.784,0.98,112.0,660.0
25.7694354057312,5.788,1.07,108.0,620.0
26.77442693710327,5.788,1.01,98.0,560.0
27.780715227127075,5.784,1.1,109.0,620.0
28.78741431236267,5.78,1.13,108.0,620.0
29.79241919517517,5.784,1.06,97.0,560.0
30.798537015914917,5.78,1.13,113.0,660.0
31.80403208732605,5.784,1.09,114.0,660.0
32.81048130989075,5.784,0.97,97.0,560.0
33.81688737869263,5.784,1.12,109.0,620.0
34.82250118255615,5.78,1.07,96.0,560.0
35.82859969139099,5.788,0.99,97.0,560.0
36.83373045921326,5.784,1.02,104.0,580.0
37.84051847457886,5.784,1.13,109.0,620.0
38.84666419029236,5.788,0.97,98.0,560.0
39.851810932159424,5.78,1.13,110.0,620.0
40.85761761665344,5.784,0.98,98.0,560.0
41.86257266998291,5.78,1.16,108.0,620.0
42.86952996253967,5.784,0.97,97.0,560.0
43.87566065788269,5.78,1.1,112.0,660.0
44.88003373146057,5.78,0.95,99.0,560.0
45.88729906082153,5.776,1.11,111.0,660.0
46.893290996551514,5.78,1.07,109.0,620.0
47.89926362037659,5.78,0.98,97.0,560.0
48.90530514717102,5.78,0.98,99.0,560.0
49.9112434387207,5.776,1.13,113.0,660.0
50.9173367023468,5.78,0.97,96.0,560.0
51.92232155799866,5.776,1.12,109.0,620.0
52.92859387397766,5.776,1.08,110.0,620.0
53.93461632728577,5.784,0.97,97.0,560.0
54.940211057662964,5.772,1.11,115.0,660.0
55.94693899154663,5.776,1.06,109.0,620.0
56.95223045349121,5.78,1.0,98.0,560.0
57.95828700065613,5.772,1.1,112.0,660.0
58.96200633049011,5.776,1.08,112.0,660.0
59.969505310058594,5.776,0.99,101.0,580.0
60.9762122631073,5.772,1.08,112.0,660.0
61.98208427429199,5.772,1.1,108.0,620.0
62.98819065093994,5.78,0.99,99.0,560.0
63.99332571029663,5.772,1.08,113.0,660.0
64.99928784370422,5.776,1.02,98.0,560.0
66.00622415542603,5.776,0.98,100.0,580.0
67.01129102706909,5.772,1.09,108.0,620.0
68.0180892944336,5.776,0.99,100.0,580.0
69.02157354354858,5.776,1.0,98.0,560.0
70.0286910533905,5.772,1.07,107.0,620.0
71.0350079536438,5.776,1.03,99.0,560.0
72.04132795333862,5.776,0.97,99.0,560.0
73.04684090614319,5.768,1.14,108.0,620.0
74.05322217941284,5.772,0.99,101.0,580.0
75.05874013900757,5.772,0.98,99.0,560.0
76.06542348861694,5.768,1.06,112.0,660.0
77.07021021842957,5.772,0.97,101.0,580.0
78.07629680633545,5.768,1.05,107.0,620.0
79.08237648010254,5.768,1.07,109.0,620.0
80.0883400440216,5.772,0.96,108.0,620.0
81.09497809410095,5.764,1.15,109.0,620.0
82.09857225418091,5.768,1.12,112.0,660.0
83.10646486282349,5.772,0.97,96.0,560.0
84.11061024665833,5.768,1.09,110.0,620.0
85.11751794815063,5.772,0.97,96.0,560.0
86.12452483177185,5.768,0.98,97.0,560.0
87.12986969947815,5.764,1.12,110.0,620.0
88.13577389717102,5.764,1.11,101.0,580.0
89.14003944396973,5.768,0.97,99.0,560.0
90.14742541313171,5.764,1.07,111.0,660.0
91.15405416488647,5.772,0.98,95.0,560.0
92.1587929725647,5.768,0.97,98.0,560.0
93.1652455329895,5.764,1.08,109.0,620.0
94.17093801498413,5.764,1.08,108.0,620.0
95.17725849151611,5.768,0.97,98.0,560.0
96.18317317962646,5.76,1.12,107.0,620.0
97.18749356269836,5.768,1.02,101.0,580.0
98.19434404373169,5.768,1.01,100.0,580.0
99.2000617980957,5.76,1.11,113.0,660.0
100.20700550079346,5.76,1.12,110.0,620.0
101.21289801597595,5.768,0.97,97.0,560.0
102.21894788742065,5.768,1.01,110.0,620.0
103.22443556785583,5.76,1.12,113.0,660.0
104.22996830940247,5.756,1.13,115.0,660.0
105.23630142211914,5.756,1.12,112.0,660.0
106.24241375923157,5.76,1.12,105.0,580.0
107.24814963340759,5.764,1.0,100.0,580.0
108.25478625297546,5.76,1.12,114.0,660.0
109.25978231430054,5.76,1.07,104.0,580.0
110.26640224456787,5.76,1.0,96.0,560.0
111.27283906936646,5.76,1.1,115.0,660.0
112.27832245826721,5.764,0.97,98.0,560.0
113.28389811515808,5.764,0.98,100.0,580.0
114.28987884521484,5.756,1.12,109.0,620.0
115.2952389717102,5.764,0.97,99.0,560.0
116.30152940750122,5.76,0.99,99.0,560.0
117.30635356903076,5.76,1.08,110.0,620.0
118.31364345550537,5.764,0.99,97.0,560.0
119.31793570518494,5.764,0.98,100.0,580.0
120.32423424720764,5.756,1.07,112.0,660.0
121.3314139842987,5.756,0.97,98.0,560.0
122.33570981025696,5.76,0.96,99.0,560.0
123.3430004119873,5.756,1.09,110.0,620.0
124.3482940196991,5.76,1.01,99.0,560.0
125.35458493232727,5.756,1.07,114.0,660.0
126.3589985370636,5.752,1.09,111.0,620.0
127.36560726165771,5.76,0.95,101.0,580.0
128.37294554710388,5.756,0.98,110.0,620.0
129.37809920310974,5.756,1.09,110.0,620.0
130.38430070877075,5.76,0.99,96.0,560.0
131.38997197151184,5.752,1.09,107.0,620.0
132.39599609375,5.756,1.12,100.0,580.0
133.4022877216339,5.756,0.98,97.0,560.0
134.4080457687378,5.752,1.08,110.0,620.0
135.4140739440918,5.748,1.1,110.0,620.0
136.42007446289062,5.756,0.98,98.0,560.0
137.4260504245758,5.752,1.13,109.0,620.0
138.43139576911926,5.756,0.98,97.0,560.0
139.43790864944458,5.76,0.97,99.0,560.0
140.44330620765686,5.752,1.05,111.0,620.0
141.44701838493347,5.752,1.06,111.0,620.0
142.45512199401855,5.756,0.98,100.0,580.0
143.46138668060303,5.752,1.1,109.0,620.0
144.46592664718628,5.756,0.98,98.0,560.0
145.47294545173645,5.756,0.98,97.0,560.0
146.4771008491516,5.752,1.07,114.0,660.0
147.48530983924866,5.752,1.12,110.0,620.0
148.49103116989136,5.752,1.0,100.0,580.0
149.4968409538269,5.752,0.96,109.0,620.0
150.50329303741455,5.748,1.12,113.0,660.0
151.5083236694336,5.752,0.97,99.0,560.0
152.51444149017334,5.748,1.1,112.0,660.0
153.52075004577637,5.748,1.09,110.0,620.0
154.52660155296326,5.752,0.99,98.0,560.0
155.53162217140198,5.748,1.12,110.0,620.0
156.53622698783875,5.752,1.0,97.0,560.0
157.54391813278198,5.752,0.99,97.0,560.0
158.5499095916748,5.748,1.1,113.0,660.0
159.55595421791077,5.752,0.96,99.0,560.0
160.56232810020447,5.752,0.98,97.0,560.0
161.56726026535034,5.748,1.12,109.0,620.0
162.5736072063446,5.752,0.95,97.0,560.0
163.57933163642883,5.752,0.99,97.0,560.0
164.58486318588257,5.748,1.08,109.0,620.0
165.5909662246704,5.752,0.96,97.0,560.0
166.59662675857544,5.748,1.07,109.0,620.0
167.60296416282654,5.744,1.08,110.0,620.0
168.60931873321533,5.752,0.97,99.0,560.0
